:START_ID(Person)|:END_ID(Tag)
933|59
933|291
933|565
933|569
933|779
933|780
933|1178
933|1203
933|1444
933|1614
933|1764
933|1767
933|1936
933|1985
933|1989
933|2011
933|2016
933|2035
933|2036
933|2054
933|2057
933|2075
933|2097
933|2104
933|2120
933|2777
933|2778
933|2780
933|2783
933|2792
933|2801
933|2803
933|2811
933|2812
933|2828
933|2831
933|2847
933|2855
933|2932
933|2933
933|2941
933|2973
933|2975
933|3045
933|3047
933|3081
933|5142
933|5159
933|5163
933|5170
933|5467
933|5682
933|5875
933|6040
933|6144
933|6368
933|6532
933|6934
933|6962
933|7032
933|7335
933|7509
933|7545
933|7876
933|8942
933|9144
933|9146
933|9163
933|13818
933|13828
1129|61
1129|62
1129|141
1129|205
1129|206
1129|417
1129|565
1129|580
1129|780
1129|783
1129|790
1129|801
1129|1154
1129|1172
1129|1188
1129|1375
1129|1504
1129|1535
1129|1749
1129|1985
1129|1990
1129|1995
1129|2011
1129|2032
1129|2095
1129|2120
1129|2787
1129|2802
1129|2811
1129|2820
1129|2821
1129|2835
1129|2844
1129|2847
1129|2850
1129|2851
1129|2854
1129|2863
1129|2871
1129|2885
1129|2888
1129|2908
1129|2912
1129|2928
1129|2958
1129|3005
1129|3011
1129|3059
1129|5116
1129|5133
1129|5191
1129|5978
1129|6363
1129|6383
1129|6456
1129|6801
1129|7936
1129|9058
1129|9076
1129|9161
1129|9277
1129|11258
2199023256684|566
2199023256684|568
2199023256684|779
2199023256684|977
2199023256684|1499
2199023256684|1644
2199023256684|1991
2199023256684|2002
2199023256684|2017
2199023256684|2020
2199023256684|2067
2199023256684|2777
2199023256684|2780
2199023256684|2785
2199023256684|2793
2199023256684|2798
2199023256684|2845
2199023256684|2888
2199023256684|2909
2199023256684|2976
2199023256684|3000
2199023256684|3045
2199023256684|3047
2199023256684|3055
2199023256684|3073
2199023256684|6383
2199023256684|6756
2199023256684|9097
2199023256684|10710
4398046512167|1749
6597069767117|321
6597069767117|1545
6597069767117|1999
6597069767117|2031
6597069767117|2888
6597069767117|2940
6597069767117|5196
6597069767117|7524
6597069767117|9170
6597069767117|10190
6597069770517|1807
8796093025056|138
8796093025056|294
8796093025056|416
8796093025056|417
8796093025056|561
8796093025056|568
8796093025056|776
8796093025056|977
8796093025056|1177
8796093025056|1190
8796093025056|1505
8796093025056|1533
8796093025056|1667
8796093025056|1669
8796093025056|1759
8796093025056|1768
8796093025056|1940
8796093025056|1952
8796093025056|1985
8796093025056|1987
8796093025056|1988
8796093025056|2031
8796093025056|2037
8796093025056|2041
8796093025056|2779
8796093025056|2781
8796093025056|2784
8796093025056|2785
8796093025056|2788
8796093025056|2790
8796093025056|2840
8796093025056|2849
8796093025056|2888
8796093025056|2942
8796093025056|2954
8796093025056|2959
8796093025056|2973
8796093025056|2976
8796093025056|5078
8796093025056|5118
8796093025056|5141
8796093025056|5142
8796093025056|6993
8796093025056|7005
8796093025056|7509
8796093025056|7581
8796093025056|9040
8796093025056|9141
8796093025056|9474
8796093025056|11622
8796093025593|581
8796093025593|1608
8796093025593|1940
8796093025593|1997
8796093025593|2028
8796093025593|2072
8796093025593|2106
8796093025593|2780
8796093025593|2800
8796093025593|2948
8796093025593|6688
8796093025593|7517
8796093025593|7564
8796093025593|11450
8796093025593|12273
10995116278700|138
10995116278700|523
10995116278700|581
10995116278700|784
10995116278700|1186
10995116278700|1424
10995116278700|1760
10995116278700|1985
10995116278700|1995
10995116278700|1997
10995116278700|2001
10995116278700|2008
10995116278700|2039
10995116278700|2106
10995116278700|2109
10995116278700|2777
10995116278700|2779
10995116278700|2785
10995116278700|2818
10995116278700|2831
10995116278700|2856
10995116278700|2859
10995116278700|2862
10995116278700|2876
10995116278700|2907
10995116278700|2958
10995116278700|2960
10995116278700|2984
10995116278700|3021
10995116278700|3028
10995116278700|3040
10995116278700|3072
10995116278700|3096
10995116278700|4849
10995116278700|5070
10995116278700|5078
10995116278700|5129
10995116278700|5146
10995116278700|6399
10995116278700|6400
10995116278700|6890
10995116278700|6962
10995116278700|6964
10995116278700|7330
10995116278700|7598
10995116278700|8784
10995116278700|9163
10995116278700|10492
10995116278700|10681
10995116278700|11250
10995116278700|11628
10995116278700|11852
10995116279792|1796
10995116279952|1410
10995116280047|1545
10995116280480|295
10995116280480|785
10995116280480|974
10995116280480|1733
10995116280480|1988
10995116280480|2017
10995116280480|2035
10995116280480|2040
10995116280480|2089
10995116280480|2780
10995116280480|2794
10995116280480|2807
10995116280480|2808
10995116280480|2848
10995116280480|2877
10995116280480|2886
10995116280480|2889
10995116280480|6344
10995116280480|6556
10995116280480|6989
10995116280480|7517
10995116280480|9095
10995116280480|11408
10995116280480|12296
10995116280480|13816
13194139536109|149
13194139536109|458
13194139536109|794
13194139536109|1175
13194139536109|1763
13194139536109|1863
13194139536109|1936
13194139536109|1989
13194139536109|2017
13194139536109|2038
13194139536109|2049
13194139536109|2078
13194139536109|2107
13194139536109|2779
13194139536109|2792
13194139536109|2843
13194139536109|2854
13194139536109|2903
13194139536109|2953
13194139536109|3015
13194139536109|3073
13194139536109|4921
13194139536109|5085
13194139536109|6307
13194139536109|6358
13194139536109|7509
13194139536109|8302
13194139536109|8559
15393162791382|6
15393162791382|777
15393162791382|1172
15393162791382|1186
15393162791382|1940
15393162791382|2001
15393162791382|2040
15393162791382|2075
15393162791382|2780
15393162791382|2870
15393162791382|5063
15393162791382|5118
15393162791382|6368
15393162791382|6945
15393162791382|7015
15393162791382|11531
15393162791382|11622
17592186045684|6
17592186045684|138
17592186045684|588
17592186045684|778
17592186045684|781
17592186045684|797
