:START_ID(Person)|:END_ID(Person)|creationDate:LONG
933|2199023256437|1270700321298
933|15393162790400|1301779060919
933|24189255814068|1321436866750
1129|1242|1265640844061
1129|2199023256437|1272402737534
1129|6597069769310|1281090126511
1129|15393162789093|1304059991356
1129|24189255813517|1325314251286
1129|24189255814068|1321830587899
1129|32985348834375|1345657873732
2199023256684|4398046513018|1274829469652
2199023256684|19791209303491|1315192099496
2199023256684|32985348834375|1345362879166
4398046512167|13194139535543|1296775194333
4398046512167|15393162789604|1303530521084
4398046512167|17592186045085|1308413766948
4398046512167|17592186046507|1309125566813
4398046512167|19791209303491|1313826686755
4398046512167|21990232557814|1322666388846
4398046512167|24189255812580|1323829091954
4398046512167|26388279070362|1329247488856
4398046512167|28587302322548|1337174441552
4398046512167|30786325578585|1342290376997
4398046512167|32985348834937|1346023782121
4398046512167|32985348835870|1345111140930
6597069767117|6597069768549|1281590827825
6597069767117|10995116278291|1289180315462
6597069767117|13194139534520|1296857768002
6597069767117|15393162790275|1304071920596
6597069767117|26388279067534|1327539227321
6597069767117|28587302322537|1334301039759
6597069767117|32985348835923|1345717564311
6597069770517|19791209303491|1313668004219
6597069770517|21990232556220|1316098637313
6597069770517|24189255814450|1325659987784
6597069770517|26388279068275|1331466506779
8796093025056|8796093025074|1290385845653
8796093025056|8796093025406|1289047721419
8796093025056|10995116278973|1290413509866
8796093025056|13194139536497|1297768751457
8796093025056|17592186045261|1307712212459
8796093025056|17592186045693|1309276579276
8796093025056|17592186047159|1306513766405
8796093025056|17592186048248|1310085697391
8796093025056|21990232555834|1319963560301
8796093025056|21990232557330|1315892323093
8796093025056|26388279068053|1327905597059
8796093025056|28587302324670|1334217539782
8796093025056|28587302326035|1334871731841
8796093025056|30786325577859|1340661303472
8796093025056|30786325578755|1341100730811
8796093025056|32985348833979|1347323167770
8796093025056|32985348836606|1345945144560
8796093025593|19791209303491|1313901839843
10995116278700|17592186046293|1310469168559
10995116278700|26388279068863|1331567916159
10995116279792|15393162790347|1304457654788
10995116279792|15393162792181|1300872824283
10995116279952|24189255813121|1322566890446
10995116279952|26388279067534|1328436717048
10995116280047|13194139533574|1298844681731
10995116280047|15393162791322|1302481695149
10995116280047|19791209301664|1314815283310
10995116280047|28587302322537|1333454551330
10995116280047|28587302326035|1335425850938
10995116280047|32985348835374|1342121938787
10995116280047|32985348835870|1345363950159
13194139536109|17592186044425|1310168517087
13194139536109|19791209303491|1313383164195
13194139536109|32985348834375|1344978385873
15393162791382|15393162791608|1303846676052
15393162791382|15393162791946|1306059379882
15393162791382|15393162792240|1304544335474
15393162791382|17592186044691|1307559415817
15393162791382|17592186044737|1305406723220
15393162791382|17592186044857|1310741091490
15393162791382|17592186044991|1308174002459
15393162791382|17592186046524|1307940757740
15393162791382|17592186047473|1309639983659
15393162791382|17592186047563|1308027009950
15393162791382|17592186047971|1308944265984
15393162791382|17592186048021|1306542573467
15393162791382|17592186048261|1310215132825
15393162791382|19791209300147|1316154088036
15393162791382|19791209300851|1311680032437
15393162791382|19791209301132|1315104013629
15393162791382|19791209301138|1311944200632
15393162791382|19791209302403|1313267216743
15393162791382|19791209302425|1315855812490
15393162791382|19791209302532|1317208146979
15393162791382|19791209302909|1312299688719
15393162791382|19791209302941|1313604481616
15393162791382|19791209302965|1315261421084
15393162791382|19791209303133|1312323710852
15393162791382|19791209303477|1313099604240
15393162791382|21990232556482|1315760437124
15393162791382|21990232557079|1318574887637
15393162791382|21990232558703|1321686307001
15393162791382|26388279067637|1332445813706
15393162791382|26388279067734|1330842489673
