:START_ID(Forum)|:END_ID(Tag)
0|59
0|291
0|565
0|569
0|779
0|780
0|1178
0|1203
0|1444
0|1614
0|1764
0|1767
0|1936
0|1985
0|1989
0|2011
0|2016
0|2035
0|2036
0|2054
0|2057
0|2075
0|2097
0|2104
0|2120
0|2777
0|2778
0|2780
0|2783
0|2792
0|2801
0|2803
0|2811
0|2812
0|2828
0|2831
0|2847
0|2855
0|2932
0|2933
0|2941
0|2973
0|2975
0|3045
0|3047
0|3081
0|5142
0|5159
0|5163
0|5170
0|5467
0|5682
0|5875
0|6040
0|6144
0|6368
0|6532
0|6934
0|6962
0|7032
0|7335
0|7509
0|7545
0|7876
0|8942
0|9144
0|9146
0|9163
0|13818
0|13828
893353197569|2780
481036337154|2016
755914244099|6144
1030792151044|291
893353197573|7545
618475290630|2811
1030792151047|2104
1099511627784|2831
618475290633|2932
481036337162|6532
206158430219|5163
343597383692|569
343597383693|2097
137438953486|2075
206158430223|2054
481036337168|2097
412316860433|1764
687194767378|2016
618475290643|7876
687194767380|2801
206158430229|779
618475290646|2828
206158430231|2104
824633720856|6532
412316860441|59
206158430234|3047
68719476763|5163
893353197596|2828
755914244125|9163
824633720862|2097
1030792151071|13818
343597383712|13818
824633720865|1989
893353197602|2054
962072674339|5142
36|61
36|62
36|141
36|205
36|206
36|417
36|565
36|580
36|780
36|783
36|790
36|801
36|1154
36|1172
36|1188
36|1375
36|1504
36|1535
36|1749
36|1985
36|1990
36|1995
36|2011
36|2032
36|2095
36|2120
36|2787
36|2802
36|2811
36|2820
36|2821
36|2835
36|2844
36|2847
36|2850
36|2851
36|2854
36|2863
36|2871
36|2885
36|2888
36|2908
36|2912
36|2928
36|2958
36|3005
36|3011
36|3059
36|5116
36|5133
36|5191
36|5978
36|6363
36|6383
36|6456
36|6801
36|7936
36|9058
36|9076
36|9161
36|9277
36|11258
68719476773|566
68719476773|568
68719476773|779
68719476773|977
68719476773|1499
68719476773|1644
68719476773|1991
68719476773|2002
68719476773|2017
68719476773|2020
68719476773|2067
68719476773|2777
68719476773|2780
68719476773|2785
68719476773|2793
68719476773|2798
68719476773|2845
68719476773|2888
68719476773|2909
68719476773|2976
68719476773|3000
68719476773|3045
68719476773|3047
68719476773|3055
68719476773|3073
68719476773|6383
68719476773|6756
68719476773|9097
68719476773|10710
137438953510|1749
206158430247|321
206158430247|1545
206158430247|1999
206158430247|2031
206158430247|2888
206158430247|2940
206158430247|5196
206158430247|7524
206158430247|9170
206158430247|10190
206158430248|5196
549755813929|321
412316860459|1999
893353197612|1999
549755813933|7524
343597383726|9170
755914244143|7524
893353197617|10190
618475290674|2940
274877906995|5196
412316860468|1999
343597383733|1999
962072674358|9170
274877906999|2940
1099511627832|2940
755914244153|1545
274877907002|1999
687194767419|5196
687194767420|321
824633720893|10190
893353197630|7524
481036337215|1545
687194767425|7524
824633720898|2031
549755813955|1545
893353197636|2940
206158430277|1807
618475290694|1807
687194767431|1807
824633720904|1807
755914244169|1807
412316860490|1807
481036337227|1807
343597383756|1807
755914244173|1807
755914244174|1807
549755813967|1807
481036337233|1807
481036337234|1807
343597383763|1807
412316860500|1807
206158430293|1807
274877907030|1807
274877907033|1807
549755813978|1807
687194767451|1807
618475290716|1807
274877907037|1807
412316860510|1807
893353197664|1807
206158430305|1807
755914244194|1807
549755813987|1807
274877907044|138
274877907044|294
274877907044|416
274877907044|417
274877907044|561
274877907044|568
274877907044|776
274877907044|977
274877907044|1177
274877907044|1190
274877907044|1505
274877907044|1533
274877907044|1667
274877907044|1669
274877907044|1759
274877907044|1768
274877907044|1940
274877907044|1952
274877907044|1985
274877907044|1987
274877907044|1988
274877907044|2031
274877907044|2037
274877907044|2041
274877907044|2779
274877907044|2781
274877907044|2784
274877907044|2785
274877907044|2788
274877907044|2790
274877907044|2840
274877907044|2849
274877907044|2888
274877907044|2942
274877907044|2954
274877907044|2959
274877907044|2973
274877907044|2976
274877907044|5078
274877907044|5118
274877907044|5141
274877907044|5142
274877907044|6993
274877907044|7005
274877907044|7509
274877907044|7581
274877907044|9040
274877907044|9141
274877907044|9474
274877907044|11622
687194767461|1768
962072674407|1177
412316860522|1759
824633720939|2888
687194767468|2037
962072674413|1669
618475290735|2031
1030792151152|2888
687194767473|2785
893353197682|5078
687194767475|7005
274877907060|294
412316860534|5118
893353197687|1988
618475290744|9474
824633720953|7581
481036337274|2779
962072674427|2888
274877907069|2849
412316860542|2959
755914244223|1759
274877907072|581
274877907072|1608
274877907072|1940
274877907072|1997
274877907072|2028
274877907072|2072
274877907072|2106
274877907072|2780
274877907072|2800
274877907072|2948
274877907072|6688
274877907072|7517
274877907072|7564
274877907072|11450
274877907072|12273
1030792151169|11450
481036337282|2028
481036337283|6688
824633720964|2072
824633720965|11450
549755814022|2780
549755814023|1940
549755814024|2028
481036337289|2072
274877907083|2106
893353197708|2780
412316860557|11450
687194767502|2948
687194767503|7517
549755814033|2106
893353197714|2106
755914244243|2028
687194767508|2072
687194767509|11450
549755814038|1608
755914244248|1940
824633720985|1997
274877907098|1997
412316860571|2072
1030792151196|2072
343597383837|138
343597383837|523
343597383837|581
343597383837|784
343597383837|1186
343597383837|1424
343597383837|1760
343597383837|1985
343597383837|1995
343597383837|1997
343597383837|2001
343597383837|2008
343597383837|2039
343597383837|2106
343597383837|2109
343597383837|2777
343597383837|2779
343597383837|2785
343597383837|2818
343597383837|2831
343597383837|2856
343597383837|2859
343597383837|2862
343597383837|2876
343597383837|2907
343597383837|2958
343597383837|2960
343597383837|2984
343597383837|3021
343597383837|3028
343597383837|3040
343597383837|3072
343597383837|3096
343597383837|4849
343597383837|5070
343597383837|5078
343597383837|5129
343597383837|5146
343597383837|6399
343597383837|6400
343597383837|6890
343597383837|6962
343597383837|6964
343597383837|7330
343597383837|7598
343597383837|8784
343597383837|9163
343597383837|10492
343597383837|10681
343597383837|11250
343597383837|11628
343597383837|11852
343597383838|1796
755914244255|1796
481036337312|1796
893353197729|1796
343597383843|1796
824633720996|1796
481036337317|1796
824633720998|1796
755914244263|1796
687194767528|1796
618475290793|1796
618475290794|1796
343597383851|1796
549755814060|1796
549755814061|1796
824633721006|1796
343597383855|1796
755914244272|1796
687194767537|1796
618475290802|1796
481036337331|1796
343597383860|1796
824633721013|1796
824633721014|1796
481036337335|1796
755914244280|1796
343597383865|1410
343597383866|1545
343597383867|295
343597383867|785
343597383867|974
343597383867|1733
343597383867|1988
343597383867|2017
343597383867|2035
343597383867|2040
343597383867|2089
343597383867|2780
343597383867|2794
343597383867|2807
343597383867|2808
343597383867|2848
343597383867|2877
343597383867|2886
343597383867|2889
343597383867|6344
343597383867|6556
343597383867|6989
343597383867|7517
343597383867|9095
343597383867|11408
343597383867|12296
343597383867|13816
412316860604|149
412316860604|458
412316860604|794
412316860604|1175
412316860604|1763
412316860604|1863
412316860604|1936
412316860604|1989
412316860604|2017
412316860604|2038
412316860604|2049
412316860604|2078
412316860604|2107
412316860604|2779
412316860604|2792
412316860604|2843
412316860604|2854
412316860604|2903
412316860604|2953
412316860604|3015
412316860604|3073
412316860604|4921
412316860604|5085
412316860604|6307
412316860604|6358
412316860604|7509
412316860604|8302
412316860604|8559
481036337341|6
481036337341|777
481036337341|1172
481036337341|1186
481036337341|1940
481036337341|2001
481036337341|2040
481036337341|2075
481036337341|2780
481036337341|2870
481036337341|5063
481036337341|5118
481036337341|6368
481036337341|6945
481036337341|7015
481036337341|11531
481036337341|11622
549755814078|6
549755814078|138
549755814078|588
549755814078|778
549755814078|781
549755814078|797
549755814078|808
549755814078|973
549755814078|1024
549755814078|1026
549755814078|1172
549755814078|1173
549755814078|1180
549755814078|1184
549755814078|1185
549755814078|1201
549755814078|1759
549755814078|1762
549755814078|1995
549755814078|2001
549755814078|2003
549755814078|2017
549755814078|2034
549755814078|2048
549755814078|2059
549755814078|2076
549755814078|2078
549755814078|2092
549755814078|2792
549755814078|2837
549755814078|2862
549755814078|2992
549755814078|3035
549755814078|5085
549755814078|5118
549755814078|5176
549755814078|6368
549755814078|6413
549755814078|6945
549755814078|9058
549755814078|9063
549755814078|11254
549755814078|11375
549755814078|11622
549755814078|11625
549755814078|11628
549755814078|11695
549755814078|11742
549755814079|1167
549755814079|2991
549755814079|7380
549755814079|7572
618475290816|1644
618475290816|1713
618475290816|2089
618475290816|2779
618475290816|2796
618475290816|2804
618475290816|2958
618475290816|6968
618475290816|9170
618475290816|12416
687194767553|205
687194767553|295
687194767553|543
687194767553|566
687194767553|1030
687194767553|1448
687194767553|1616
687194767553|1672
687194767553|1984
687194767553|2021
687194767553|2029
687194767553|2047
687194767553|2780
687194767553|2792
687194767553|2808
687194767553|2861
687194767553|2924
687194767553|2933
687194767553|6470
687194767553|6733
687194767553|7494
687194767553|9141
687194767553|11088
687194767553|11379
687194767553|15333
687194767554|138
687194767554|216
687194767554|281
687194767554|286
687194767554|566
687194767554|573
687194767554|574
687194767554|576
687194767554|593
687194767554|781
687194767554|1022
687194767554|1178
687194767554|1186
687194767554|1545
687194767554|1548
687194767554|1668
687194767554|1671
687194767554|1672
687194767554|1758
687194767554|1985
687194767554|1992
687194767554|2008
687194767554|2031
687194767554|2036
687194767554|2046
687194767554|2058
687194767554|2077
687194767554|2082
687194767554|2116
687194767554|2778
687194767554|2783
687194767554|2802
687194767554|2804
687194767554|2806
687194767554|2818
687194767554|2823
687194767554|2826
687194767554|2832
687194767554|2879
687194767554|2884
687194767554|2895
687194767554|2912
687194767554|2959
687194767554|3029
687194767554|3047
687194767554|3087
687194767554|4848
687194767554|5119
687194767554|5321
687194767554|5563
687194767554|6360
687194767554|6363
687194767554|6365
687194767554|6706
687194767554|7001
